investor,commit,deal_size,invite,rating,int_rate,covenants,total_fees,fee_share,prior_tier,invite_tier,tier_change,fee_percent,invite_percent
Cold Cut Credit,Commit,1300,190,3,Market,3,218,43.2,Bookrunner,Bookrunner,None,0.1981651376,0.1461538462
Damiba Investment Group,Commit,1800,330,1,Above,2,135,41.3,Bookrunner,Bookrunner,None,0.3059259259,0.1833333333
Cold Cut Credit,Commit,1800,280,7,Market,0,213,0,Participant,Bookrunner,Promoted,0,0.1555555556
Bank of Pepperoni Pizza,Decline,1200,140,3,Market,2,87,8.9,Bookrunner,Participant,Demoted,0.1022988506,0.1166666667
Cold Cut Credit,Commit,1800,280,4,Market,1,95,20.4,Participant,Bookrunner,Promoted,0.2147368421,0.1555555556
Damiba Investment Group,Decline,1300,100,6,Market,1,131,8.5,Bookrunner,Participant,Demoted,0.06488549618,0.07692307692
Beef and Broccoli Union,Commit,1200,170,5,Market,1,130,14.3,Bookrunner,Bookrunner,None,0.11,0.1416666667
Damiba Investment Group,Commit,1600,240,3,Market,2,114,22.9,Bookrunner,Bookrunner,None,0.200877193,0.15
Bank of Pepperoni Pizza,Decline,1000,110,4,Market,1,113,6.6,Bookrunner,Participant,Demoted,0.05840707965,0.11
Damiba Investment Group,Commit,1000,120,3,Market,1,44,10.6,Bookrunner,Bookrunner,None,0.2409090909,0.12
Cold Cut Credit,Commit,600,80,3,Market,2,70,10.3,Bookrunner,Bookrunner,None,0.1471428571,0.1333333333
Ipanema Investments,Commit,300,40,3,Market,2,32,3.9,Bookrunner,Bookrunner,None,0.121875,0.1333333333
Bank of Pepperoni Pizza,Commit,500,60,1,Market,3,80,19.4,Bookrunner,Participant,Demoted,0.2425,0.12
Damiba Investment Group,Commit,1300,220,4,Market,1,135,26.3,Bookrunner,Bookrunner,None,0.1948148148,0.1692307692
Bank of Pepperoni Pizza,Commit,600,100,4,Market,1,60,1.3,Bookrunner,Bookrunner,None,0.02166666667,0.1666666667
Bank of Pepperoni Pizza,Commit,800,110,1,Market,3,133,20.6,Participant,Bookrunner,Promoted,0.154887218,0.1375
Cold Cut Credit,Decline,1400,70,3,Market,2,84,7.7,Bookrunner,Participant,Demoted,0.09166666667,0.05
Bank of Pepperoni Pizza,Commit,700,130,3,Market,2,68,10.3,Bookrunner,Bookrunner,None,0.1514705882,0.1857142857
Bank of Pepperoni Pizza,Commit,1200,200,3,Market,2,107,28,Bookrunner,Bookrunner,None,0.261682243,0.1666666667
Damiba Investment Group,Commit,1700,240,10,Above,0,218,17.4,Bookrunner,Bookrunner,None,0.07981651376,0.1411764706
Beef and Broccoli Union,Commit,800,150,2,Above,2,177,8,Participant,Bookrunner,Promoted,0.04519774011,0.1875
Ipanema Investments,Commit,900,140,2,Market,2,112,7.1,Bookrunner,Bookrunner,None,0.06339285714,0.1555555556
Bank of Pepperoni Pizza,Commit,1200,100,5,Market,2,221,44.2,Bookrunner,Participant,Demoted,0.2,0.08333333333
Bank of Pepperoni Pizza,Commit,900,50,2,Above,2,58,7,Bookrunner,Participant,Demoted,0.1206896552,0.05555555556
Beef and Broccoli Union,Commit,200,40,1,Market,2,22,9.1,Bookrunner,Bookrunner,None,0.4136363636,0.2
Damiba Investment Group,Commit,1300,250,9,Market,0,95,2.9,Participant,Bookrunner,Promoted,0.03052631579,0.1923076923
Damiba Investment Group,Commit,1000,190,2,Market,3,182,22.4,Bookrunner,Bookrunner,None,0.1230769231,0.19
Damiba Investment Group,Decline,1400,100,7,Below,0,119,13.7,Bookrunner,Participant,Demoted,0.1151260504,0.07142857143
Cold Cut Credit,Commit,1000,180,3,Market,2,103,4.3,Participant,Bookrunner,Promoted,0.04174757282,0.18
Bank of Pepperoni Pizza,Commit,1500,130,5,Market,1,123,12.3,Participant,Participant,None,0.1,0.08666666667
Damiba Investment Group,Commit,1400,300,9,Market,0,140,14.8,Bookrunner,Bookrunner,None,0.1057142857,0.2142857143
Cold Cut Credit,Commit,1700,250,6,Above,1,366,1.8,Bookrunner,Bookrunner,None,0.004918032787,0.1470588235
Damiba Investment Group,Commit,800,120,1,Market,2,78,12.9,Participant,Bookrunner,Promoted,0.1653846154,0.15
Bank of Pepperoni Pizza,Commit,1800,250,8,Market,0,202,9.1,Bookrunner,Bookrunner,None,0.04504950495,0.1388888889
Ipanema Investments,Commit,800,110,1,Market,2,74,11.1,Bookrunner,Bookrunner,None,0.15,0.1375
Beef and Broccoli Union,Decline,800,140,2,Above,2,84,0.5,Bookrunner,Bookrunner,None,0.005952380952,0.175
Bank of Pepperoni Pizza,Commit,1300,170,9,Market,1,197,46.9,Bookrunner,Bookrunner,None,0.238071066,0.1307692308
Ipanema Investments,Commit,500,90,2,Market,2,57,15.7,Participant,Bookrunner,Promoted,0.2754385965,0.18
Damiba Investment Group,Commit,1200,130,5,Market,1,157,38.9,Bookrunner,Participant,Demoted,0.2477707006,0.1083333333
Ipanema Investments,Commit,1500,360,7,Market,0,192,47.6,Bookrunner,Bookrunner,None,0.2479166667,0.24
Cold Cut Credit,Commit,1600,290,3,Below,2,148,12.3,Bookrunner,Bookrunner,None,0.08310810811,0.18125
Cold Cut Credit,Commit,900,180,2,Market,1,27,5.6,Participant,Bookrunner,Promoted,0.2074074074,0.2
Beef and Broccoli Union,Commit,1200,290,6,Above,1,136,7.5,Bookrunner,Bookrunner,None,0.05514705882,0.2416666667
Damiba Investment Group,Commit,900,150,3,Market,2,105,7.9,Bookrunner,Bookrunner,None,0.07523809524,0.1666666667
Damiba Investment Group,Commit,1400,170,5,Market,1,181,15.6,Participant,Participant,None,0.0861878453,0.1214285714
Cold Cut Credit,Commit,1700,210,2,Market,3,299,36.2,Bookrunner,Bookrunner,None,0.1210702341,0.1235294118
Cold Cut Credit,Commit,900,130,1,Market,2,100,24.3,Bookrunner,Bookrunner,None,0.243,0.1444444444
Beef and Broccoli Union,Commit,1300,220,8,Market,0,159,37.4,Bookrunner,Bookrunner,None,0.2352201258,0.1692307692
Ipanema Investments,Commit,1000,210,1,Market,2,110,39.3,Bookrunner,Bookrunner,None,0.3572727273,0.21
Ipanema Investments,Commit,1100,190,5,Market,1,107,12.1,Bookrunner,Bookrunner,None,0.1130841121,0.1727272727
Bank of Pepperoni Pizza,Commit,600,80,2,Market,2,72,14.2,Bookrunner,Bookrunner,None,0.1972222222,0.1333333333
Cold Cut Credit,Decline,1100,110,10,Below,0,108,6.3,Bookrunner,Participant,Demoted,0.05833333333,0.1
Bank of Pepperoni Pizza,Commit,1300,250,7,Market,1,208,35.8,Bookrunner,Bookrunner,None,0.1721153846,0.1923076923
Cold Cut Credit,Decline,1500,150,3,Below,2,78,0.3,Participant,Participant,None,0.003846153846,0.1
Cold Cut Credit,Commit,1600,300,6,Market,1,217,45.6,Bookrunner,Bookrunner,None,0.2101382488,0.1875
Damiba Investment Group,Commit,600,90,2,Above,2,72,12.2,Bookrunner,Bookrunner,None,0.1694444444,0.15
Beef and Broccoli Union,Commit,1500,370,4,Market,1,151,8,Bookrunner,Bookrunner,None,0.05298013245,0.2466666667
Cold Cut Credit,Commit,900,140,1,Market,1,44,13.8,Bookrunner,Bookrunner,None,0.3136363636,0.1555555556
Damiba Investment Group,Commit,600,120,2,Below,2,65,4.4,Bookrunner,Bookrunner,None,0.06769230769,0.2
Bank of Pepperoni Pizza,Commit,1200,180,1,Market,1,45,1.7,Bookrunner,Bookrunner,None,0.03777777778,0.15
Beef and Broccoli Union,Commit,800,150,1,Market,2,77,24.2,Bookrunner,Bookrunner,None,0.3142857143,0.1875
Bank of Pepperoni Pizza,Commit,1000,150,7,Market,0,27,3.4,Bookrunner,Bookrunner,None,0.1259259259,0.15
Bank of Pepperoni Pizza,Commit,500,70,4,Market,1,62,0,Participant,Bookrunner,Promoted,0,0.14
Cold Cut Credit,Commit,400,80,2,Market,2,44,3.9,Participant,Bookrunner,Promoted,0.08863636364,0.2
Beef and Broccoli Union,Decline,1300,90,4,Market,1,135,1.6,Participant,Participant,None,0.01185185185,0.06923076923
Beef and Broccoli Union,Commit,1900,260,4,Market,2,315,50.4,Bookrunner,Bookrunner,None,0.16,0.1368421053
Ipanema Investments,Commit,1500,250,3,Market,2,134,13.5,Participant,Bookrunner,Promoted,0.1007462687,0.1666666667
Damiba Investment Group,Decline,1100,80,6,Market,1,81,4.2,Bookrunner,Participant,Demoted,0.05185185185,0.07272727273
Damiba Investment Group,Commit,1200,160,5,Market,1,128,19.1,Bookrunner,Bookrunner,None,0.14921875,0.1333333333
Damiba Investment Group,Commit,900,180,2,Market,2,135,32.9,Bookrunner,Bookrunner,None,0.2437037037,0.2
Cold Cut Credit,Commit,800,60,1,Market,2,214,21.4,Bookrunner,Participant,Demoted,0.1,0.075
Cold Cut Credit,Commit,800,180,1,Market,1,19,2.3,Bookrunner,Bookrunner,None,0.1210526316,0.225
Damiba Investment Group,Decline,1300,120,10,Market,0,73,12.4,Bookrunner,Participant,Demoted,0.1698630137,0.09230769231
Beef and Broccoli Union,Decline,500,60,2,Above,2,31,4.1,Bookrunner,Bookrunner,None,0.1322580645,0.12
Bank of Pepperoni Pizza,Commit,900,100,2,Above,2,75,13.4,Bookrunner,Participant,Demoted,0.1786666667,0.1111111111
Damiba Investment Group,Commit,1200,170,4,Market,1,97,16,Bookrunner,Bookrunner,None,0.1649484536,0.1416666667
Ipanema Investments,Decline,600,50,2,Market,2,72,15.9,Bookrunner,Participant,Demoted,0.2208333333,0.08333333333
Beef and Broccoli Union,Decline,1300,230,6,Market,1,131,3,Bookrunner,Bookrunner,None,0.02290076336,0.1769230769
Ipanema Investments,Commit,1000,170,10,Below,0,130,44.5,Bookrunner,Bookrunner,None,0.3423076923,0.17
Beef and Broccoli Union,Commit,1300,180,4,Market,1,194,42.1,Bookrunner,Bookrunner,None,0.2170103093,0.1384615385
Ipanema Investments,Decline,1100,130,8,Market,0,64,14,Bookrunner,Participant,Demoted,0.21875,0.1181818182
Ipanema Investments,Commit,1500,300,2,Below,2,139,39.1,Participant,Bookrunner,Promoted,0.281294964,0.2
Cold Cut Credit,Commit,600,110,1,Above,2,44,9.2,Bookrunner,Bookrunner,None,0.2090909091,0.1833333333
Bank of Pepperoni Pizza,Commit,1100,210,10,Market,0,94,30.3,Bookrunner,Bookrunner,None,0.3223404255,0.1909090909
Ipanema Investments,Decline,1100,90,9,Above,0,136,17.1,Bookrunner,Participant,Demoted,0.1257352941,0.08181818182
Beef and Broccoli Union,Commit,1600,210,7,Market,0,192,21.7,Bookrunner,Bookrunner,None,0.1130208333,0.13125
Beef and Broccoli Union,Decline,1100,140,7,Market,0,65,0.4,Bookrunner,Bookrunner,None,0.006153846154,0.1272727273
Cold Cut Credit,Commit,1000,130,3,Market,3,186,8,Participant,Bookrunner,Promoted,0.04301075269,0.13
Bank of Pepperoni Pizza,Commit,1100,210,9,Market,0,99,18.4,Bookrunner,Bookrunner,None,0.1858585859,0.1909090909
Ipanema Investments,Commit,600,100,3,Market,2,70,8.4,Bookrunner,Bookrunner,None,0.12,0.1666666667
Cold Cut Credit,Commit,1100,180,8,Market,0,29,2.9,Bookrunner,Bookrunner,None,0.1,0.1636363636
Ipanema Investments,Commit,1400,230,4,Market,0,58,5.5,Bookrunner,Bookrunner,None,0.09482758621,0.1642857143
Beef and Broccoli Union,Commit,400,80,1,Market,2,43,17.3,Bookrunner,Bookrunner,None,0.4023255814,0.2
Damiba Investment Group,Decline,800,70,3,Market,2,118,21.6,Bookrunner,Participant,Demoted,0.1830508475,0.0875
Bank of Pepperoni Pizza,Commit,1800,260,4,Market,1,104,22,Bookrunner,Bookrunner,None,0.2115384615,0.1444444444
Cold Cut Credit,Commit,1300,220,9,Below,1,218,31.8,Bookrunner,Bookrunner,None,0.1458715596,0.1692307692
Bank of Pepperoni Pizza,Decline,300,30,2,Market,2,37,4.4,Bookrunner,Participant,Demoted,0.1189189189,0.1
Cold Cut Credit,Commit,900,130,1,Market,2,103,22,Participant,Bookrunner,Promoted,0.213592233,0.1444444444
Damiba Investment Group,Decline,600,50,3,Market,2,37,4.8,Bookrunner,Participant,Demoted,0.1297297297,0.08333333333
Bank of Pepperoni Pizza,Commit,200,30,4,Market,1,18,5.4,Bookrunner,Bookrunner,None,0.3,0.15
Beef and Broccoli Union,Commit,1500,230,6,Market,2,246,5.2,Bookrunner,Bookrunner,None,0.02113821138,0.1533333333
Cold Cut Credit,Commit,900,120,3,Market,2,90,8.4,Bookrunner,Bookrunner,None,0.09333333333,0.1333333333
Bank of Pepperoni Pizza,Commit,1300,210,3,Below,2,107,14.1,Bookrunner,Bookrunner,None,0.1317757009,0.1615384615
Cold Cut Credit,Commit,1600,280,1,Market,2,124,1.9,Bookrunner,Bookrunner,None,0.01532258065,0.175
Cold Cut Credit,Commit,1300,160,4,Market,1,194,24.3,Bookrunner,Bookrunner,None,0.125257732,0.1230769231
Beef and Broccoli Union,Commit,1400,200,6,Market,1,154,43.9,Bookrunner,Bookrunner,None,0.2850649351,0.1428571429
Bank of Pepperoni Pizza,Commit,500,110,2,Market,2,45,3.5,Bookrunner,Bookrunner,None,0.07777777778,0.22
Bank of Pepperoni Pizza,Commit,1700,250,10,Market,0,246,14.3,Bookrunner,Bookrunner,None,0.0581300813,0.1470588235
Damiba Investment Group,Decline,1100,110,8,Market,0,165,16.7,Bookrunner,Participant,Demoted,0.1012121212,0.1
Bank of Pepperoni Pizza,Commit,1600,270,6,Market,2,264,64.4,Bookrunner,Bookrunner,None,0.2439393939,0.16875
Cold Cut Credit,Commit,1300,170,4,Above,1,191,2.7,Bookrunner,Bookrunner,None,0.01413612565,0.1307692308
Cold Cut Credit,Commit,400,70,2,Market,2,44,10,Participant,Bookrunner,Promoted,0.2272727273,0.175
Beef and Broccoli Union,Decline,900,110,2,Market,2,70,3.3,Bookrunner,Bookrunner,None,0.04714285714,0.1222222222
Cold Cut Credit,Commit,1200,250,4,Market,1,118,35,Bookrunner,Bookrunner,None,0.2966101695,0.2083333333
Beef and Broccoli Union,Commit,500,70,2,Market,2,52,11.1,Bookrunner,Bookrunner,None,0.2134615385,0.14
Damiba Investment Group,Decline,1600,140,8,Market,0,174,17.1,Bookrunner,Participant,Demoted,0.09827586207,0.0875
Beef and Broccoli Union,Commit,1500,270,8,Market,0,128,41.2,Bookrunner,Bookrunner,None,0.321875,0.18
Damiba Investment Group,Commit,1100,210,5,Market,1,135,5.8,Bookrunner,Bookrunner,None,0.04296296296,0.1909090909
Beef and Broccoli Union,Commit,1000,170,8,Market,0,64,16.4,Bookrunner,Bookrunner,None,0.25625,0.17
Cold Cut Credit,Commit,1000,140,5,Below,0,42,5.3,Bookrunner,Bookrunner,None,0.1261904762,0.14
Cold Cut Credit,Commit,1500,220,10,Market,0,217,29.9,Bookrunner,Bookrunner,None,0.1377880184,0.1466666667
Bank of Pepperoni Pizza,Commit,700,100,2,Market,2,80,1.1,Bookrunner,Bookrunner,None,0.01375,0.1428571429
Ipanema Investments,Commit,800,130,3,Market,2,96,24.8,Bookrunner,Bookrunner,None,0.2583333333,0.1625
Ipanema Investments,Commit,1100,240,2,Market,2,67,22.1,Participant,Bookrunner,Promoted,0.3298507463,0.2181818182
Bank of Pepperoni Pizza,Commit,1200,110,3,Below,2,161,25.6,Participant,Participant,None,0.1590062112,0.09166666667
Ipanema Investments,Commit,1200,180,3,Market,2,87,13.7,Bookrunner,Bookrunner,None,0.1574712644,0.15
Beef and Broccoli Union,Commit,1100,150,9,Market,0,154,5.4,Bookrunner,Bookrunner,None,0.03506493506,0.1363636364
Bank of Pepperoni Pizza,Commit,1900,370,1,Market,2,174,63.3,Bookrunner,Bookrunner,None,0.3637931034,0.1947368421
Bank of Pepperoni Pizza,Commit,500,70,3,Above,2,48,13.2,Bookrunner,Bookrunner,None,0.275,0.14
Ipanema Investments,Commit,800,150,1,Market,2,114,35.7,Bookrunner,Bookrunner,None,0.3131578947,0.1875
Damiba Investment Group,Commit,600,70,2,Below,2,61,11.8,Bookrunner,Bookrunner,None,0.193442623,0.1166666667
Cold Cut Credit,Commit,700,120,2,Market,1,25,6.8,Bookrunner,Bookrunner,None,0.272,0.1714285714
Bank of Pepperoni Pizza,Commit,300,50,3,Market,2,31,2.9,Participant,Bookrunner,Promoted,0.0935483871,0.1666666667
Damiba Investment Group,Commit,1400,310,4,Market,1,111,48.8,Bookrunner,Bookrunner,None,0.4396396396,0.2214285714
Cold Cut Credit,Commit,2000,340,4,Market,1,240,30.7,Bookrunner,Bookrunner,None,0.1279166667,0.17
Bank of Pepperoni Pizza,Commit,1500,250,10,Market,0,217,16.9,Bookrunner,Bookrunner,None,0.07788018433,0.1666666667
Ipanema Investments,Decline,200,20,4,Below,2,32,2.2,Bookrunner,Participant,Demoted,0.06875,0.1
Cold Cut Credit,Decline,400,40,1,Below,2,27,3,Bookrunner,Participant,Demoted,0.1111111111,0.1
Damiba Investment Group,Commit,500,80,2,Market,2,64,0.1,Bookrunner,Bookrunner,None,0.0015625,0.16
Ipanema Investments,Commit,900,120,4,Market,1,115,5.4,Bookrunner,Bookrunner,None,0.04695652174,0.1333333333
Bank of Pepperoni Pizza,Commit,900,190,3,Market,2,49,6.3,Bookrunner,Bookrunner,None,0.1285714286,0.2111111111
Ipanema Investments,Commit,1500,260,3,Market,2,121,1.8,Bookrunner,Bookrunner,None,0.01487603306,0.1733333333
Beef and Broccoli Union,Commit,1000,160,8,Market,0,73,13.8,Bookrunner,Bookrunner,None,0.1890410959,0.16
Bank of Pepperoni Pizza,Commit,1000,180,6,Market,2,203,40.4,Bookrunner,Bookrunner,None,0.1990147783,0.18
Beef and Broccoli Union,Decline,2200,200,8,Market,1,355,25.9,Bookrunner,Participant,Demoted,0.07295774648,0.09090909091
Damiba Investment Group,Commit,400,50,2,Market,1,4,0.7,Bookrunner,Bookrunner,None,0.175,0.125
Beef and Broccoli Union,Commit,1100,160,3,Market,2,129,21.3,Participant,Bookrunner,Promoted,0.1651162791,0.1454545455
Cold Cut Credit,Decline,500,90,2,Market,2,42,2,Bookrunner,Bookrunner,None,0.04761904762,0.18
Ipanema Investments,Commit,1200,200,4,Market,1,118,7,Bookrunner,Bookrunner,None,0.0593220339,0.1666666667
Ipanema Investments,Commit,400,70,1,Market,1,15,1.6,Bookrunner,Bookrunner,None,0.1066666667,0.175
Cold Cut Credit,Commit,1100,130,3,Market,2,127,1.1,Participant,Bookrunner,Promoted,0.008661417323,0.1181818182
Damiba Investment Group,Commit,1200,260,2,Market,2,75,23.9,Bookrunner,Bookrunner,None,0.3186666667,0.2166666667
Cold Cut Credit,Commit,1200,180,2,Above,2,131,29.3,Participant,Bookrunner,Promoted,0.2236641221,0.15
Ipanema Investments,Commit,1200,220,6,Market,1,167,47.9,Bookrunner,Bookrunner,None,0.2868263473,0.1833333333
Beef and Broccoli Union,Decline,500,50,3,Market,2,30,3.3,Bookrunner,Participant,Demoted,0.11,0.1
Bank of Pepperoni Pizza,Commit,500,60,2,Above,1,19,0.7,Participant,Bookrunner,Promoted,0.03684210526,0.12
Beef and Broccoli Union,Decline,1100,110,6,Market,1,81,12,Bookrunner,Participant,Demoted,0.1481481481,0.1
Damiba Investment Group,Commit,600,80,2,Below,2,33,1.4,Bookrunner,Bookrunner,None,0.04242424242,0.1333333333
Beef and Broccoli Union,Commit,300,60,1,Market,2,16,4.6,Bookrunner,Bookrunner,None,0.2875,0.2
Bank of Pepperoni Pizza,Commit,2000,240,6,Market,1,283,32.5,Bookrunner,Bookrunner,None,0.1148409894,0.12
Bank of Pepperoni Pizza,Commit,600,90,2,Above,2,31,5.9,Bookrunner,Bookrunner,None,0.1903225806,0.15
Beef and Broccoli Union,Commit,1300,290,4,Above,2,215,61.3,Participant,Bookrunner,Promoted,0.2851162791,0.2230769231
Damiba Investment Group,Commit,1700,190,6,Above,1,366,73.9,Bookrunner,Participant,Demoted,0.2019125683,0.1117647059
Beef and Broccoli Union,Decline,1100,230,6,Market,0,41,0.5,Bookrunner,Bookrunner,None,0.01219512195,0.2090909091
Beef and Broccoli Union,Commit,1200,170,3,Market,3,184,38.8,Bookrunner,Bookrunner,None,0.2108695652,0.1416666667
Ipanema Investments,Decline,700,70,1,Market,2,86,7.8,Bookrunner,Participant,Demoted,0.09069767442,0.1
Ipanema Investments,Commit,1800,350,4,Market,1,166,42.2,Bookrunner,Bookrunner,None,0.2542168675,0.1944444444
Cold Cut Credit,Decline,600,70,1,Above,2,70,8.8,Bookrunner,Participant,Demoted,0.1257142857,0.1166666667
Bank of Pepperoni Pizza,Commit,1700,360,4,Above,1,177,40.5,Bookrunner,Bookrunner,None,0.2288135593,0.2117647059
Beef and Broccoli Union,Commit,1600,220,1,Above,2,214,53.5,Bookrunner,Bookrunner,None,0.25,0.1375
Damiba Investment Group,Commit,1000,170,7,Market,0,89,24.6,Bookrunner,Bookrunner,None,0.2764044944,0.17
Bank of Pepperoni Pizza,Commit,1400,290,6,Below,1,74,26.1,Bookrunner,Bookrunner,None,0.3527027027,0.2071428571
Ipanema Investments,Commit,800,170,3,Market,2,106,25.3,Bookrunner,Bookrunner,None,0.2386792453,0.2125
Beef and Broccoli Union,Commit,1800,390,6,Above,1,103,21.1,Bookrunner,Bookrunner,None,0.2048543689,0.2166666667
Cold Cut Credit,Commit,1500,250,3,Below,2,78,7.4,Participant,Bookrunner,Promoted,0.09487179487,0.1666666667
Cold Cut Credit,Commit,1200,160,1,Market,1,50,11.1,Bookrunner,Bookrunner,None,0.222,0.1333333333
Beef and Broccoli Union,Commit,900,190,2,Market,2,69,24.8,Bookrunner,Bookrunner,None,0.3594202899,0.2111111111
Damiba Investment Group,Decline,600,70,2,Market,2,30,2.5,Bookrunner,Participant,Demoted,0.08333333333,0.1166666667
Damiba Investment Group,Commit,500,60,1,Below,2,71,3.8,Bookrunner,Bookrunner,None,0.05352112676,0.12
Ipanema Investments,Commit,1200,250,3,Market,2,101,26.5,Bookrunner,Bookrunner,None,0.2623762376,0.2083333333
Ipanema Investments,Decline,1100,70,3,Market,2,103,8.1,Bookrunner,Participant,Demoted,0.0786407767,0.06363636364
Bank of Pepperoni Pizza,Commit,1000,110,4,Above,1,107,17.8,Bookrunner,Participant,Demoted,0.1663551402,0.11
Bank of Pepperoni Pizza,Decline,1300,100,2,Market,2,106,7.6,Bookrunner,Participant,Demoted,0.07169811321,0.07692307692
Cold Cut Credit,Decline,1900,170,5,Below,1,125,15,Bookrunner,Participant,Demoted,0.12,0.08947368421
Damiba Investment Group,Commit,1000,220,5,Market,1,89,4.5,Bookrunner,Bookrunner,None,0.05056179775,0.22
Bank of Pepperoni Pizza,Commit,1500,120,6,Market,1,225,17.6,Bookrunner,Participant,Demoted,0.07822222222,0.08
Cold Cut Credit,Commit,1200,220,3,Above,2,106,1.8,Bookrunner,Bookrunner,None,0.01698113208,0.1833333333
Beef and Broccoli Union,Commit,2300,260,5,Market,1,280,64.1,Bookrunner,Participant,Demoted,0.2289285714,0.1130434783
Beef and Broccoli Union,Commit,1000,120,2,Market,3,154,26,Participant,Participant,None,0.1688311688,0.12
Beef and Broccoli Union,Decline,1200,180,10,Market,0,108,7.9,Bookrunner,Bookrunner,None,0.07314814815,0.15
Cold Cut Credit,Commit,800,140,2,Market,2,71,20.6,Bookrunner,Bookrunner,None,0.2901408451,0.175
Cold Cut Credit,Commit,800,120,4,Above,1,230,32.9,Bookrunner,Bookrunner,None,0.1430434783,0.15
Damiba Investment Group,Commit,1200,230,6,Market,1,141,41.6,Bookrunner,Bookrunner,None,0.295035461,0.1916666667
Damiba Investment Group,Commit,1600,350,3,Below,2,114,22,Bookrunner,Bookrunner,None,0.1929824561,0.21875
Beef and Broccoli Union,Commit,2300,390,4,Market,1,263,12.6,Bookrunner,Bookrunner,None,0.04790874525,0.1695652174
Damiba Investment Group,Commit,1000,180,8,Market,0,144,13.1,Bookrunner,Bookrunner,None,0.09097222222,0.18
Bank of Pepperoni Pizza,Commit,600,70,1,Above,2,57,5.3,Bookrunner,Participant,Demoted,0.09298245614,0.1166666667
Damiba Investment Group,Commit,1200,220,3,Market,2,95,21.2,Bookrunner,Bookrunner,None,0.2231578947,0.1833333333
Ipanema Investments,Decline,900,110,3,Below,2,114,3.3,Bookrunner,Bookrunner,None,0.02894736842,0.1222222222
Damiba Investment Group,Commit,1900,400,9,Below,1,286,34.3,Bookrunner,Bookrunner,None,0.1199300699,0.2105263158
Ipanema Investments,Commit,800,160,2,Market,2,86,6.2,Participant,Bookrunner,Promoted,0.07209302326,0.2
Cold Cut Credit,Commit,900,170,2,Market,2,82,16.2,Participant,Bookrunner,Promoted,0.1975609756,0.1888888889
Bank of Pepperoni Pizza,Commit,1200,230,5,Market,1,155,17.1,Bookrunner,Bookrunner,None,0.1103225806,0.1916666667
Ipanema Investments,Commit,1500,210,2,Market,3,260,65.5,Bookrunner,Bookrunner,None,0.2519230769,0.14
Bank of Pepperoni Pizza,Commit,800,100,3,Market,2,138,21.4,Bookrunner,Bookrunner,None,0.1550724638,0.125
Cold Cut Credit,Commit,1800,190,6,Market,1,184,20.1,Bookrunner,Participant,Demoted,0.1092391304,0.1055555556
Bank of Pepperoni Pizza,Decline,800,80,4,Market,1,57,9.2,Bookrunner,Participant,Demoted,0.1614035088,0.1
Ipanema Investments,Commit,1800,270,1,Market,2,143,34.7,Bookrunner,Bookrunner,None,0.2426573427,0.15
Ipanema Investments,Commit,1300,180,6,Below,1,192,35.7,Participant,Bookrunner,Promoted,0.1859375,0.1384615385
Bank of Pepperoni Pizza,Commit,800,120,2,Above,2,105,17,Bookrunner,Bookrunner,None,0.1619047619,0.15
Bank of Pepperoni Pizza,Commit,900,120,3,Market,3,161,7.9,Bookrunner,Bookrunner,None,0.04906832298,0.1333333333
Damiba Investment Group,Commit,800,150,2,Above,2,105,6.1,Bookrunner,Bookrunner,None,0.0580952381,0.1875
Ipanema Investments,Commit,1300,180,2,Market,2,106,11.3,Bookrunner,Bookrunner,None,0.1066037736,0.1384615385
Beef and Broccoli Union,Commit,400,50,4,Market,1,46,9.5,Bookrunner,Bookrunner,None,0.2065217391,0.125
Beef and Broccoli Union,Commit,1300,150,5,Market,0,58,11,Participant,Participant,None,0.1896551724,0.1153846154
Ipanema Investments,Commit,1100,200,1,Market,2,103,19.4,Bookrunner,Bookrunner,None,0.1883495146,0.1818181818
Damiba Investment Group,Decline,700,70,2,Above,2,51,3.9,Bookrunner,Participant,Demoted,0.07647058824,0.1
Beef and Broccoli Union,Commit,1400,240,7,Market,0,98,9.2,Bookrunner,Bookrunner,None,0.09387755102,0.1714285714
Bank of Pepperoni Pizza,Commit,1200,180,1,Above,2,171,10.8,Bookrunner,Bookrunner,None,0.06315789474,0.15
Beef and Broccoli Union,Commit,1300,270,4,Market,1,106,22.2,Participant,Bookrunner,Promoted,0.2094339623,0.2076923077
Bank of Pepperoni Pizza,Commit,700,150,2,Market,2,57,13.6,Bookrunner,Bookrunner,None,0.2385964912,0.2142857143
Beef and Broccoli Union,Commit,200,30,3,Market,2,12,0.4,Participant,Bookrunner,Promoted,0.03333333333,0.15
Bank of Pepperoni Pizza,Commit,900,130,1,Market,1,21,3.9,Bookrunner,Bookrunner,None,0.1857142857,0.1444444444
Bank of Pepperoni Pizza,Commit,900,110,5,Market,1,90,11.3,Bookrunner,Bookrunner,None,0.1255555556,0.1222222222
Damiba Investment Group,Commit,1000,180,6,Above,1,78,6.2,Participant,Bookrunner,Promoted,0.07948717949,0.18
Cold Cut Credit,Commit,600,80,4,Market,1,46,9.6,Participant,Bookrunner,Promoted,0.2086956522,0.1333333333
Cold Cut Credit,Commit,1000,210,6,Market,0,22,7.3,Bookrunner,Bookrunner,None,0.3318181818,0.21
Beef and Broccoli Union,Commit,1400,240,7,Market,0,50,9.3,Bookrunner,Bookrunner,None,0.186,0.1714285714
